ID,Text,Highlights,Tag
1,"Каждое утро традиционный душераздирающий вопль оповещал окрестности, что Артур Дент проснулся и заново ужаснулся своему местоположению.
В его пещере царил холод (а также смрад и сырость), но это еще пол-ужаса. Главный же ужас состоял в том, что пещера находилась в лондонском районе Айлингтон и первый автобус в центр должен был отправиться примерно через два миллиона лет.
Время – это, так сказать, худшее место из всех, где только можно заблудиться. Артур Дент, с его богатым опытом блужданий по закоулкам пространства и времени, может утверждать это со всей ответственностью. Заблудившемуся в пространстве хотя бы не угрожает смерть со скуки.","душераздирающий вопль, заново ужаснулся, Главный же ужас,  худшее место, хотя бы не угрожает смерть со скуки",Негативный
2,"Артур Дент застрял на доисторической Земле в результате извилистой цепочки происшествий, в процессе каковых он попеременно подвергался оскорблениям и/или расщеплению на атомы в разнообразных экзотических уголках Галактики, бесчисленность и странность которых превзошли все его ожидания. И хотя теперь его жизнь текла чрезвычайно ровно и спокойно, нервы Артура по-прежнему шалили.","подвергался оскорблениям, нервы шалили.",Негативный
3,"Бредя в сумерках к своей пещере, Артур вдруг заметил за облаками странные вспышки. Он задрал голову к небу, и в его сердце робко закопошилась надежда. Спасение. Свобода. Несбыточная греза Робинзона – корабль.
И вправду – к его радости и изумлению, с небес, рассекая теплый вечерний воздух, тихо, как-то интеллигентно спустился длинный серебряный звездолет. Выдвинулись длинные опоры, совершая изящные балетные па во славу технического прогресса.
Звездолет легко опустился на землю, и его ненавязчивое гудение разом стихло, точно убаюканное вечерней тишиной.","робко закопошилась надежда, к его радости и изумлению",Позитивный
4,"Хозяин звездолета, инопланетянин с дорогостоящим цветом лица, развалился в единственном кресле рубки. Он звался Охмешконасыпатель Конца-Краю-Не-Знающий, и был он индивидуумом с четкой целью в жизни. Не самой лучшей целью – в чем он сам первый признавался, – но эта какая-никакая цель как-никак давала ему какое-никакое занятие.
Охмешконасыпатель Конца-Краю-Не-Знающий принадлежал – то есть принадлежит – к очень узкому кругу бессмертных обитателей Вселенной.",нет выраженных эмоций,Нейтральный
5,"Но вскоре в этом светлом существовании появилось нестерпимое темное пятно – воскресенья. Примерно в 14.55 тебя начинает обволакивать ужасная апатия: ты понимаешь, что уже принял все ванны, какие можно было принять с пользой для души и тела, что сколько ни созерцай любой абзац газетного текста, ты не прочтешь ни строчки, не говоря уже о применении на практике новейшего, совершившего революцию в области стрижки кустарников метода, который в этой газете описан. И сколько ни гляди на циферблат, неумолимые стрелки вскоре передвинутся на четыре – час, когда начинается долгое, мутное и, что греха таить, безумное чаепитие души.
Итак, Охмешконасыпатель пресытился жизнью. Довольные улыбки, которыми он обычно озарял чужие похороны, стали какими-то натянутыми. В нем зрела ненависть к Вселенной в целом и каждому из ее обитателей в частности.","нестерпимое темное пятно, ужасная апатия, пресытился",Негативный
6,"Хотя в горле у него привычно саднило от традиционного утреннего душераздирающего вопля, он внезапно пришел в великолепное расположение духа. Поплотнее запахнувшись в свой обтрепанный халат, он приветствовал доброе утро широкой улыбкой.
Воздух был прозрачен и душист. Ветерок осторожно ворошил высокую траву вокруг пещеры, птицы чирикали друг с дружкой, бабочки изящно порхали туда-сюда, и вообще вся природа из кожи вон лезла, стараясь произвести благоприятное впечатление. Однако Артура воскресили не эти пасторальные радости. Ему только что пришел в голову великолепный способ победить ужас одиночества, кошмары, комплекс неполноценности из-за провала всех сельскохозяйственных начинаний и патологического отсутствия всякой будущности для него на доисторической Земле. Короче говоря, он вознамерился сойти с ума.","великолепное расположение духа, доброе утро, широкой улыбкой, благоприятное впечатление, великолепный способ победить",Позитивный
7,"Форд с Артуром, пыхтя, бежали за ним, но диван увертывался и петлял, точно пространство имело для него иную, сложную математическую топографию – как оно и было в действительности. И все же они продолжали погоню, а диван вальсировал и вертелся, а потом вдруг развернулся и вошел в пике, словно сорвавшись с порога графика, изображающего кризис, причем Форд с Артуром оказались буквально над ним. Со вздохом облегчения и возгласом триумфа они вскочили на диван, солнце, моргнув, погасло, и, провалившись сквозь головокружительное ничто, они выбрались на свет божий в самом неожиданном месте – посреди поля крикетной площадки «Лордз» (что расположена в лондонском районе Сент-Джонс-Вуд) незадолго до окончания последнего матча международного турнира на Приз Австралии 198… года, причем команде Англии требовалось лишь двадцать восемь перебежек для победы.",нет выраженных эмоций,Нейтральный
8,"Тем временем Форд начал выделывать какие-то странные фортели. Говоря «странные», мы не имеем в виду обычный (то есть странный по определению) стиль поведения Форда. О нет – то были действия, странно непохожие на все его обычные странности и чудачества.
А именно: игнорируя недоуменные взгляды собратьев-зрителей, что обступали поле, он совершал всякие резкие движения руками перед своим носом, при этом то проныривая у кого-то за спиной, то подпрыгивая рядом с кем-то еще. Порой он замирал, часто моргая. Спустя некоторое время он начал медленно, воровато пробираться вперед с гримасой вдумчивой озадаченности на лице – как леопард, который не совсем уверен, что только что видел в полумиле впереди, на раскаленной и пыльной прерии, полупустую банку «Вискаса».",нет выраженных эмоций,Нейтральный
9,"Однако казалось, если что тут и назревало, так только какая-то церемония. Она была срежиссирована скорее для блага телезрителей, чем просто зрителей, и со своего места в толпе они могли следить за ней только по сообщениям ближайшего репродуктора. Форд всячески демонстрировал агрессивную индифферентность к происходящему.
Морщась, он выслушал пояснение, что сейчас на поле произойдет вручение «Урны с Пеплом» капитану команды Англии, весь скукожился при известии, что данная команда заслужила этот приз, выиграв турнир в энный раз, буквально взлаял от злобы после сообщения, что «Пепел» – это останки столбика крикетной калитки, а когда (ну куда уж дальше!) от него потребовали смириться с фактом, что вышеупомянутый столбик был сожжен в австралийском городе Мельбурне в 1882 году, в знак «смерти английского крикета», Форд развернулся к Слартибартфасту, набрал в грудь воздуха – но ничего не сказал, потому что старца рядом с ними уже не было. Он шествовал к центру поля ужасающе решительной поступью, и его борода, волосы и одеяние развевались по ветру – вылитый Моисей на горе Синай, только в роли Синая сейчас выступала холеная лужайка, а не грозный вулкан в косматом дыму, каким его обычно изображают.","демонстрировал агрессивную индифферентность, взлаял от злобы,потребовали смириться",Агрессивный
10,"Такое ощущение, что на приём к министру всех министерств пытаешься попасть! Для получения штампа в водительскую справку, пришлось посетить сие заведение 4! раза! И каждое посещение чувствуешь себя униженным и никчёмным существом! Как будто МЫ им...",чувствуешь себя униженным и никчёмным существом,Агрессивный
11,"*** просто!!! взяли деньги за ЭП, подпись так и не сделали, потеряла время и деньги, пришлось ехать в налоговую самой и бесплатно за 5 секунд все оформила, писала обращение на возврат средств за неоказанную услугу один игнор, жалко времени нет в суд подать, даже не думайте туда обращаться, и таких негативных отзывов очень много, как они вообще еще не обанкротились с таким "" сервисом""?! и еще после этого хватает наглости названивать и впаривать какие то услуги, позорище просто , пишу не о конкретном офисе, а о фирме контур в целом, тк обращалась по телефону не помню в какой точно офис , но сам факт","***, в суд подать, даже не думайте туда обращаться, хватает наглости, впаривать , позорище ",Агрессивный
12,"Отвратительная компания! После оплаты менеджеры не выходят на связь, деньги возвращать не думают! Создают бестолковые обращения и сами их закрывают. Дозвониться до руководства и разобраться в ситуации ВОЗМОЖНОСТИ ПРОСТО НЕТ! Им это не нужно, прислали ссылку на оплату и до свидания! Мошенническими действиями ищут новых клиентов.","Отвратительная , деньги возвращать не думают, Создают бестолковые, Мошенническими ",Агрессивный
13,"Отвратительный центр, сотрудники игнорирует все вопросы. По записи сидишь два часа. При этом сотрудники считают, что это норма.
После вашего ответа дополняю отзыв. Я пыталась обращаться во время этих двух часов к разным сотрудникам и это норма для вас! чтобы получить электронную подпись люди должны высиживать часами, а сотрудники делают вам одолжение. Напишите телефон руководства, я им обязательно позвоню. А составлять вам письма, для того, чтобы вы дали заготовленный ответ, желания нет. Но время сейчас другое, надо уважать людей.","Отвратительный , игнорирует , считают, что это норма, высиживать , желания нет, надо уважать людей.",Агрессивный
14,"Названивали как только открыла ИП, крайне навязчиво впаривали свои «услуги», были несколько раз далеко и надолго посланы и при этом продолжали названивать, ещё и хватает наглости представляться партнёрами банка. А потом ничего умнее не придумали, чем прислать мне на почту счёт на оплату своих услуг😂👍 Ребята, вы там в своём уме вообще?","Названивали, навязчиво впаривали, продолжали названивать, посланы , хватает наглости, вы там в своём уме",Агрессивный
